"","HEK293","K562","KMS34"
"THAP1",0.409324356978911,-1.63814832935507,-2.43069503621894
"THAP11",-0.319961537595048,-1.25208467656198,0.138759774735497
"TP53",-0.352824225018586,1.81799352673067,0.241114315895437
"TP63",-1.03112442993679,0.151091781534267,-0.0942649127964812
"TP73",-0.025210109035937,0.957274975669604,-0.303226834472623
"TWIST1",-0.818351797631855,-0.198270009913636,-0.698939832509091
"USF1",-0.264062454082721,-1.64723748863927,-1.33671310917542
"USF2",-0.153243207815655,1.45526787402235,0.239040568477422
"VDR",0.0468808169152595,1.55186016345541,-1.01587592940009
"WT1",2.38124753177932,-0.168675360335775,1.06264729497521
"XBP1",-1.85693301750742,1.11978257489498,-0.0883381787501158
"YBX1",-1.1569573929686,0.446448924513847,-1.02323456526473
"YY1",0.573054816583062,-0.0297325787824489,0.600445060436971
"ZBED1",1.40798460708269,-0.875058327203341,-0.095218978939225
"ZBTB11",-0.220971018369354,0.268989731527401,-1.39651226008413
"ZBTB33",-0.889684475969472,-0.589355621152975,-0.0122728676785225
"ZBTB7A",0.717400415777394,0.944117236373925,-0.858629515447741
"ZC3H8",-0.634040069770794,-2.07780671008874,-0.908230685448589
"ZEB1",0.0752283788153732,1.62818301664761,0.631260535984986
"ZEB2",-0.512246809915166,1.96279907744157,-1.2387884283375
"ZFX",1.24978613011965,-1.92573008712666,-0.865962098542945
"ZHX1",-0.301005288251289,0.974455959883675,-0.434811039267832
"ZHX2",-0.251147911244199,0.340760544928387,0.723657518045285
"ZKSCAN1",1.49456578024759,-0.725350088716339,-0.964233759916634
"ZNF143",-0.484507046498076,0.578231594230642,-0.114334770655621
"ZNF197",-0.988165977026037,-0.0747602192496034,0.257883168591672
"ZNF217",0.298846905402048,2.20581508940836,0.634710048600588
"ZNF24",-0.581336868329126,-1.97286874628259,-2.41873769771179
"ZNF263",-2.40653070488556,0.177138146908096,-3.31026621068558
"ZNF274",-1.59350803822313,-0.725619938470236,-2.03728557841505
"ZNF384",1.9470448587102,0.105283568694015,-0.495644889165859
"ZNF584",0.514082356127092,-1.07784134270872,-2.00803460335876
"ZNF592",1.31113817081866,0.854484378999898,-0.854809899996907
"ZNF639",-0.254871723611406,-0.572785764609942,-0.204686826800834
"ZNF644",0.384199190738317,0.341351800104124,-0.506374159877364
"ZNF740",0.45195413670122,-0.949786471324034,-2.17874181208856
"ZNF766",-0.126316619021311,2.07648559750065,1.60556863410223
